ID,Bundle,Field label,Machine name,Reused Field,X,Dev,QA,Field group,Field type,Ref. bundle,Req'd,Vals.,Form widget,Trns.,Settings/notes,Help text,Bundle machine name
,Academic Program (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,academic_program
,Academic Program (Content type),Meta Description,field_meta_description,y,a,,,,"Text (plain, long)",,y,1,Text area (multiple rows),n,"Set as metatag abstract, not shown on node",,academic_program
,Academic Program (Content type),Program Image,field_image,y,a,,,,Entity reference,Image (Media type),n,1,Media library,n,Render as 730x840,<strong>Optimal image size:</strong> 1460x1680px,academic_program
,Academic Program (Content type),Intro text,field_intro_text,y,a,,,,"Text (formatted, long, with summary)",,y,1,Text area (multiple rows),n,"Limited HTML allowed. Use custom metatag setup to include intro instead of body, update site search to index intro field and show that in plce of body for programs.",,academic_program
,Academic Program (Content type),Available as,field_program_type,n,a,,,,Entity reference,Program Types (Vocabulary),y,*,Select list,n,"Options: Major, Minor, Certificate.  Use twig to count the number of entries and add commas/or as needed to match mockups.",,academic_program
,Academic Program (Content type),Tuition info,field_tuition_link,n,a,,,,Link,,y,1,Link,n,"Internal or external, no link text, add default page on dev and set this as default value",,academic_program
,Academic Program (Content type),Admissions requirements,field_admissions_requirements,n,a,,,,Link,,y,1,Link,n,"Internal or external, no link text, add default page on dev and set this as default value",,academic_program
,Academic Program (Content type),Description,body,y,a,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Limited HTML allowed, no summary",Always start with an H2 headline.,academic_program
,Academic Program (Content type),Degree types,field_degree_types,n,a,,,Program Details,Entity reference,Degree Type (Vocabulary),y,*,Text area (multiple rows),n,,,academic_program
,Academic Program (Content type),Degree Level,field_degree_level,n,a,,,Program Details,List (text),,y,1,Select list,n,"Options: Graduate, Undergraduate",,academic_program
,Academic Program (Content type),Program length,field_program_length,n,a,,,Program Details,Text (plain),,n,1,Select list,n,,,academic_program
,Academic Program (Content type),Campus,field_campus,n,a,,,Program Details,Entity reference,Campuses (Vocabulary),y,1,Select list,n,,,academic_program
,Academic Program (Content type),In-person or online,field_delivery_mode,n,a,,,Program Details,Entity reference,Modes of Delivery (Vocabulary),y,1,Select list,n,,,academic_program
,Academic Program (Content type),Requires a minor,field_minor_required,n,a,,,Program Details,Boolean,,n,1,Single on/off checkbox,n,,,academic_program
,Academic Program (Content type),College,field_college,n,a,,,Program Details,Entity reference,College (Content type),n,1,Autocomplete,n,,,academic_program
,Academic Program (Content type),Departments,field_departments,y,a,,,Program Details,Entity reference,Department (Content type),n,*,Autocomplete,n,,,academic_program
,Academic Program (Content type),Accreditation information,field_accreditation,n,a,,,Program Details,"Text (formatted, long, with summary)",,n,1,Text area (multiple rows),n,"Some programs will have no accreditation logo (acred then goes textMax but stuck to left), some will have licensure but no accred.  There should never be licensure with a logo.",,academic_program
,Academic Program (Content type),Accreditation logo,field_accreditation_logo,n,a,,,Program Details,Entity reference,Image (Media type),n,1,Media library,n,Render as 200x200 Non Crop,<strong>Optimal image size:</strong> 400px wide,academic_program
,Academic Program (Content type),Licensure information,field_licensure,n,a,,,Program Details,"Text (formatted, long, with summary)",,y,1,Text area (multiple rows),n,,,academic_program
,Academic Program (Content type),Hallmarks,field_hallmarks,y,a,,,,Entity Reference Revisions (paragraphs),Hallmark (Paragraph type),y,5,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only hallmarks allowed",,academic_program
,Academic Program (Content type),Content Carousel,field_content_carousel,y,a,,,,Entity Reference Revisions (paragraphs),,y,5,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only content carousel allowed.",,academic_program
,Academic Program (Content type),Facts List,field_facts_list,y,a,,,,Entity Reference Revisions (paragraphs),Facts List (Paragraph type),y,1,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only facts allowed.",,academic_program
,Academic Program (Content type),Flex Content,field_paragraphs,n,a,,,,Entity Reference Revisions (paragraphs),,n,*,Layout Paragraphs,n,"Preview mode is preview. 0 nesting level. All parent paragraphs allowed except contact, hours, events list, fact lists, stories list, profiles list, social media, quote, hallmark, hero, content carousel.",,academic_program
,Academic Program (Content type),Outcomes Image,field_outcomes_image,n,a,,,Outcomes,Entity reference,Image (Media type),n,1,Media library,n,Render as 874x492,<strong>Optimal image size:</strong> 1748x984px,academic_program
,Academic Program (Content type),What can I do,field_outcome_text,n,a,,,Outcomes,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Limited HTML allowed.,Always start with an H2 headline.,academic_program
,Academic Program (Content type),Example Careers,field_example_careers,n,a,,,Outcomes,Text (plain),,n,*,Textfield,n,,,academic_program
,Academic Program (Content type),Recent Graduates,field_grads,n,a,,,Outcomes,"Text (formatted, long)",,n,*,Text area (multiple rows),n,Short formatted allowed ,,academic_program
,Academic Program (Content type),Courses information,field_courses_text,n,a,,,Courses,"Text (formatted, long)",,n,1,Text area (multiple rows),n,,Always start with an H2 headline.,academic_program
,Academic Program (Content type),Courses,field_courses,n,a,,,Courses,Text (plain),,n,3,Textfield,n,,Manually select courses to show using their course number.  <strong>Example:</strong>hist 205</strong></br>If no courses are manually selected three courses will be shown at random.,academic_program
,Academic Program (Content type),Get More Info,field_request_for_info,n,a,,,More Info,Boolean,,n,1,Single on/off checkbox,n,"If yes, add slate form. Get more info and description text are hard coded in template.",,academic_program
,Academic Program (Content type),Slate Slug,field_slate_slug,n,a,,,More Info,Text (plain),,n,1,Textfield,n,,Paste in the slug that Slate uses for the form.,academic_program
,Academic Program (Content type),Faculty Link,field_faculty_link,y,a,,,,Link,,n,1,Link,n,"Internal links only, no link text.",,academic_program
,Academic Program (Content type),Related Programs,field_related_programs,n,a,,,,Entity reference,Academic Program (Content type),n,*,Autocomplete,n,Render as thumbnail view mode,,academic_program
,Academic Program (Content type),What's Next,field_whats_next,n,a,,,,Entity reference,Reusable Widgets (Custom block type),y,1,Select list,n,,,academic_program
,Academic Program (Content type),Search Keywords,field_keywords,n,a,,,,Text (plain),,n,*,Textfield,n,"Used with 21 weight in program search index, not displayed on node",,academic_program
,Academic Program (Content type),List Widget,field_list_widget,y,a,,,,Entity reference,List Widgets (Vocabulary),y,1,Select list,n,Program term selected by default. Field hidden from node form.,,academic_program
,Academic Program (Content type),Placement tags,field_placement_tags,y,d,,,,Entity reference,Placement Tags (Vocabulary),y,*,Autocomplete,n,,,academic_program
,Academic Program (Content type),Page families,field_page_families,y,d,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,,academic_program
,Academic Program (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,academic_program
,Academic Program (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,academic_program
,Academic Program (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,academic_program
,Academic Program (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,academic_program
,Academic Program (Content type),Metatags,field_metatags,y,a,,,,Meta tags,,n,1,Advanced meta tags form,n,,,academic_program
,,,,,,,,,,,,,,,,,#VALUE!
,Announcement (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,announcement
,Announcement (Content type),Text,body,y,a,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Limited HTML allowed, no summary",,announcement
,Announcement (Content type),Display Range,dates,n,a,,,,Smart date range,,y,1,Smart Date and time range,n,"Date and time, all day option.",,announcement
,Announcement (Content type),Urgency,field_urgency,n,a,,,,List (text),,y,1,Select list,n,"Options: Urgent, Casual. Should be used a class on the announcement view blocks for theming.",,announcement
,Announcement (Content type),Sitewide,field_sitewide,n,d,,,,Boolean,,n,1,Single on/off checkbox,n,,,announcement
,Announcement (Content type),By Section URL,field_section_url,n,a,,,,Text (plain),,n,*,Textfield,n,Enter the URL section path(s) you want this announcement displayed on. <strong>Example: <code>/admissions/</code></strong>  will display the announcement on all pages starting with <code>/admissions/</code>. Each path must start <em>and</em> end with a <code>/</code> character. Leave blank to show this announcement on <em>all</em> pages.,Enter the URL section path(s) you want this announcement displayed on. <strong>Example: /admissions/*</strong>  will display the announcement on all pages starting with /admissions,announcement
,Announcement (Content type),Editorial Access,field_editorial_access,y,d,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,Default to the top level access term.,,announcement
,Announcement (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,announcement
,Announcement (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,announcement
,Announcement (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,announcement
,,,,,,,,,,,,,,,,,#VALUE!
,College (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,college
,College (Content type),Subtitle,field_subtitle,y,a,,,,Text (plain),,y,1,Textfield,n,Render as H2,,college
,College (Content type),Meta Description,field_meta_description,y,a,,,,"Text (plain, long)",,y,1,Text area (multiple rows),n,"Set as metatag abstract, not shown on node",,college
,College (Content type),Intro text,field_intro_text,y,a,,,,"Text (formatted, long, with summary)",,y,1,Text area (multiple rows),n,Limited HTML allowed. Use custom metatag setup to include intro instead of body.,,college
,College (Content type),College Image,field_image,y,a,,,,Entity reference,Image (Media type),n,1,Media library,n,,<strong>Optimal image size:</strong> 1460x1680px,college
,College (Content type),Placement tag,field_placement_tag,y,d,,,,Entity reference,Placement Tags (Vocabulary),y,1,Autocomplete,n,,,college
,College (Content type),Description,body,y,a,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Limited HTML allowed, no summary",Always start with an H2 headline.,college
,College (Content type),Departments,field_departments,y,d,,,,Entity reference,Department (Content type),n,,,,,,college
,College (Content type),Flex Content,field_paragraphs,y,a,,,,Entity Reference Revisions (paragraphs),,n,*,Layout Paragraphs,n,"Preview mode is preview. 0 nesting level. All parent paragraphs allowed except contact, hours, events list, fact lists, stories list, profiles list, social media, quote, hallmark, hero, content carousel.",A CTA should be added as the first flex item.,college
,College (Content type),Facts List,field_facts_list,y,a,,,,Entity Reference Revisions (paragraphs),Facts List (Paragraph type),y,1,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only facts allowed.",,college
,College (Content type),Stories & Video List,field_stories_video_list,n,a,,,,Entity Reference Revisions (paragraphs),Facts List (Paragraph type),y,1,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only facts allowed.",,college
,College (Content type),Contact,field_contact,y,a,,,,Entity reference,Contact Library (Content type),n,1,Autocomplete,n,Rendered as teaser,,college
,College (Content type),Hours,field_hours_library,y,a,,,,Entity reference,Hours Library (Content type),n,1,Autocomplete,n,Rendered as teaser,,college
,College (Content type),Social Links,field_platforms,y,a,,,,Link,,y,*,Link,n,"External only, text disable. Gets appended to the contact/hours block if it appears on the college has contact/hours.","Paste in the links to your platform pages. <strong>WARNING:</strong> Only Facebook, Twitter, LinkedIn, Instagram, Snapchat, TikTok and YouTube are supported. ",college
,College (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,college
,College (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,college
,College (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,college
,College (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,college
,College (Content type),Metatags,field_metatags,y,a,,,,Meta tags,,n,1,Advanced meta tags form,n,,,college
,,,,,,,,,,,,,,,,,#VALUE!
,Contact Library (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,contact
,Contact Library (Content type),College,field_college,y,d,,,,Entity reference,College (Content type),n,1,Autocomplete,n,,,contact
,Contact Library (Content type),Department,field_department,y,d,,,,Entity reference,Department (Content type),n,1,Autocomplete,n,,,contact
,Contact Library (Content type),Body,field_body,y,d,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Limited HTML allowed, no summary",,contact
,Contact Library (Content type),Placement tags,field_placement_tags,y,d,,,,Entity reference,Placement Tags (Vocabulary),n,*,Autocomplete,n,,,contact
,Contact Library (Content type),Page families,field_page_families,y,d,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,,contact
,Contact Library (Content type),Email,field_email,y,a,,,,Email,,y,1,Email,n,,,contact
,Contact Library (Content type),Phone,field_phone,y,a,,,,Telephone number,,n,1,Telephone number,n,,,contact
,Contact Library (Content type),Fax,field_fax,n,d,,,,Telephone number,,n,1,Telephone number,n,,,contact
,Contact Library (Content type),Location,field_address,y,a,,,,Address,,y,1,Address field,n,Relabel organization to location,,contact
,Contact Library (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,contact
,Contact Library (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,contact
,Contact Library (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,contact
,Contact Library (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,contact
,,,,,,,,,,,,,,,,,#VALUE!
,Department (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,department
,Department (Content type),Subtitle,field_subtitle,y,a,,,,Text (plain),,y,1,Textfield,n,Render as H2,,department
,Department (Content type),Meta Description,field_meta_description,y,a,,,,"Text (plain, long)",,y,1,Text area (multiple rows),n,"Set as metatag abstract, not shown on node",,department
,Department (Content type),Intro text,field_intro_text,y,a,,,,"Text (formatted, long, with summary)",,y,1,Text area (multiple rows),n,Limited HTML allowed. Use custom metatag setup to include intro instead of body.,,department
,Department (Content type),College,field_college,y,a,,,,Entity reference,College (Content type),y,1,Select list,n,,,department
,Department (Content type),Links,field_links,y,a,,,,Link,,y,6,Link,n,"Internal & External, Link text required",,department
,Department (Content type),Majors and Minors Description,body,y,a,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,"Limited HTML allowed, no summary",Always start with an H2 headline.,department
,Department (Content type),Faculty Link,field_faculty_link,y,a,,,,Link,,n,1,Link,n,"Internal links only, no link text.",,department
,Department (Content type),Hallmarks,field_hallmarks,y,a,,,,Entity Reference Revisions (paragraphs),Hallmark (Paragraph type),y,*,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only hallmarks allowed",,department
,Department (Content type),Facts List,field_facts_list,y,a,,,,Entity Reference Revisions (paragraphs),Facts List (Paragraph type),y,1,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only facts allowed.",,department
,Department (Content type),Student Opportunities,field_opportunities,n,a,,,,Entity Reference Revisions (paragraphs),Accordions (Paragraph type),y,1,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. On accordion group allowed",Add 2 to 6 opportunities.,department
,Department (Content type),Content Carousel,field_content_carousel,y,a,,,,Entity Reference Revisions (paragraphs),,y,5,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, No default paragraph, Only collapse/edit all enabled. Only content carousel allowed.",,department
,Department (Content type),Flex Content,field_paragraphs,y,a,,,,Entity Reference Revisions (paragraphs),,n,*,Layout Paragraphs,n,"Preview mode is preview. 0 nesting level. All parent paragraphs allowed except contact, hours, events list, fact lists, stories list, profiles list, social media, quote, hallmark, hero, content carousel.",,department
,Department (Content type),Contact,field_contact,y,a,,,,Entity reference,Contact Library (Content type),n,1,Autocomplete,n,Rendered as teaser,,department
,Department (Content type),Hours,field_hours_library,y,a,,,,Entity reference,Hours Library (Content type),n,1,Autocomplete,n,Rendered as teaser,,department
,Department (Content type),Social Links,field_platforms,y,a,,,,Link,,y,*,Link,n,"External only, text disable. Appended to contact/hours if the department has content/hours.","Paste in the links to your platform pages. <strong>WARNING:</strong> Only Facebook, Twitter, LinkedIn, Instagram, Snapchat, TikTok and YouTube are supported. ",department
,Department (Content type),What's Next,field_whats_next,n,a,,,,Entity reference,Reusable Widgets (Custom block type),y,1,Select list,n,,,department
,Department (Content type),Placement tag,field_placement_tag,y,d,,,,Entity reference,Placement Tags (Vocabulary),y,1,Autocomplete,n,,,department
,Department (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,department
,Department (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,department
,Department (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,department
,Department (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,department
,Department (Content type),Metatags,field_metatags,y,a,,,,Meta tags,,n,1,Advanced meta tags form,n,,,department
,,,,,,,,,,,,,,,,,#VALUE!
,Event (Content type),Title,-,-,d,,,,Entity label,,-,-,Textfield,n,,,event
,Event (Content type),Event Image,field_image,y,d,,,,Entity reference,Image (Media type),n,1,Media library,n,,<strong>Optimal image size:</strong> 720x720px,event
,Event (Content type),Dates,field_dates,n,d,,,,Smart date range,,y,*,Smart Date and time range,n,Allows recurring,"Add a single date, multiple dates, or add a recurring date.",event
,Event (Content type),Category,field_category,y,d,,,,Entity reference,Events Categories (Vocabulary),n,*,Select list,n,,,event
,Event (Content type),Location,field_event_location,n,d,,,Location (details),Geolocation,,n,1,Geolocation Google Maps API,n,"Geocoder, Locate, MapType, Recenter, Zoom enabled. Marker info window enabled, Road Map Type, Zoom 10, height 400px, width 100%. Address info is shown on pin.",Use the autocomplete search function the map to select an address or well-know place. The location will automatically be added in the address field below (it may take a second or two to appear).,event
,Event (Content type),Address,field_address,n,d,,,Location (details),Address,,y,1,Address field,n,Should autopopulate from geolocation field same as map widget,,event
,Event (Content type),Body,body,y,d,,,,"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,Basic HTML allowed,,event
,Event (Content type),List Widget,field_list_widget,y,d,,,,Entity reference,List Widgets (Vocabulary),y,1,Select list,n,Event term selected by default. Field hidden from node form.,,event
,Event (Content type),Editorial Access,field_editorial_access,y,d,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Select list,n,,,event
,Event (Content type),Domain Source,field_domain_source,y,d,x,,,Entity reference,,y,1,Select list,n,,,event
,Event (Content type),Domain Record,field_domain_record,y,d,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,event
,Event (Content type),Send to all affiliates,field_domain_all_affiliates,y,d,x,,,Boolean,,n,1,Single on/off checkbox,n,,,event
,Event (Content type),Metatags,field_metatags,y,d,,,,Meta tags,,n,1,Advanced meta tags form,n,,,event
,,,,,,,,,,,,,,,,,#VALUE!
,Fact Library (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,This is the fact headline.,fact
,Fact Library (Content type),Text,field_plain_text,n,a,,,,"Text (plain, long)",,y,1,Text area (multiple rows),n,,,fact
,Fact Library (Content type),Source,field_source,n,a,,,,Text (plain),,n,1,Textfield,n,,,fact
,Fact Library (Content type),Link to Source,field_source_link,n,a,,,,Link,,n,1,Link,n,"External only, text optional. ",,fact
,Fact Library (Content type),Expiration date,field_date,y,a,,,,Date,,y,1,Date and time,n,Date only. Possibly use scheduled unpublishing for this.,,fact
,Fact Library (Content type),Colleges,field_colleges,y,a,,,,Entity reference,College (Content type),n,*,Autocomplete,n,,,fact
,Fact Library (Content type),Departments,field_departments,y,a,,,,Entity reference,Department (Content type),n,*,Autocomplete,n,,,fact
,Fact Library (Content type),Programs,field_programs,y,a,,,,Entity reference,Academic Program (Content type),n,*,Autocomplete,n,,,fact
,Fact Library (Content type),Placement tags,field_placement_tags,y,a,,,,Entity reference,Placement Tags (Vocabulary),n,*,Autocomplete,n,,,fact
,Fact Library (Content type),Page families,field_page_families,y,a,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,,fact
,Fact Library (Content type),Eyebrow,field_eyebrow,y,d,,,,Entity reference,Eyebrows (Vocabulary),y,1,Select list,n,,,fact
,Fact Library (Content type),List Widget,field_list_widget,y,a,,,,Entity reference,List Widgets (Vocabulary),y,1,Select list,n,Hours term selected by default. Field hidden from node form.,,fact
,Fact Library (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,fact
,Fact Library (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,fact
,Fact Library (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,fact
,Fact Library (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,fact
,,,,,,,,,,,,,,,,,#VALUE!
,General Pages (Content type),Title,-,-,a,,,Header (open by default),Entity label,,-,-,Textfield,n,,,page
,General Pages (Content type),Title,Formatted Title,-,a,,,,Text (plain),,y,1,Textfield,n,Use autoentity to replace node title.,,page
,General Pages (Content type),Meta Description,field_meta_description,y,a,,,,"Text (formatted, long)",,y,1,Text area (multiple rows),n,"Set as metatag abstract, not shown on node",,page
,General Pages (Content type),Banner,field_image,y,d,,,,Entity reference,Image (Media type),n,1,Media library,n,,,page
,General Pages (Content type),Subtitle,field_subtitle,n,a,,,Header (open by default),Text (plain),,n,1,Textfield,n,Rendered as H2,,page
,General Pages (Content type),Into,body,y,a,,,Header (open by default),"Text (formatted, long, with summary)",,n,1,Text area with a summary,n,Limited HTML allowed,,page
,General Pages (Content type),Hero,field_hero,n,a,,,Header (open by default),Entity Reference Revisions (paragraphs),,n,1,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, NO default paragraph, Only collapse/edit all enabled. Only hero allowed.",,page
,General Pages (Content type),Sections,field_paragraphs,y,a,,,,Entity Reference Revisions (paragraphs),,n,*,Layout Paragraphs,n,"Preview mode is preview. All parent paragraphs enabled except quote, hallmark, content carousel, hero, hours set. 0 nesting level.",,page
,General Pages (Content type),Page family,field_page_family,y,a,,,,Entity reference,Page Families (Vocabulary),y,1,Autocomplete,n,,,page
,General Pages (Content type),Exclude from search,exclude_search,y,a,,,,Boolean,,n,1,Single on/off checkbox,n,"Changes the metatags for the page to be nofollow, noindex.",,page
,General Pages (Content type),Hide sidebar nav & breadcrumbs,hide_nav,y,a,,,,Boolean,,n,1,Single on/off checkbox,n,Disabled rendering of sidebar nav block (via twig template),,page
,General Pages (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,page
,General Pages (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,page
,General Pages (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,page
,General Pages (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,page
,General Pages (Content type),Social Share Image,field_social_image,y,a,,,,Entity reference,Image (Media type),n,1,Media library,n,Update metatags to use this image. Put in sidebar tab next to metatags. Do not render on node,<strong>Optimal image size:</strong> 1200x628px,page
,General Pages (Content type),Metatags,field_metatags,y,a,,,,Meta tags,,n,1,Advanced meta tags form,n,Only editable by site admins if possible.,,page
,,,,,,,,,,,,,,,,,#VALUE!
,Hours Library (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,hours
,Hours Library (Content type),College,field_college,y,d,,,,Entity reference,College (Content type),n,1,Autocomplete,n,,,hours
,Hours Library (Content type),Department,field_department,y,d,,,,Entity reference,Department (Content type),n,1,Autocomplete,n,,,hours
,Hours Library (Content type),Placement tags,field_placement_tags,y,d,,,,Entity reference,Placement Tags (Vocabulary),n,*,Autocomplete,n,,Make sure you are only tagging one node with each placement tag.,hours
