ID,View,Title,Machine name,X,Dev,QA,Display plugin,Notes,View ID
,Announcements,Sitewide,Sitewide,d,,,Block,Displays published announcements for the set display range if sitewide is checked for announcement. Shows only the text field. Limit to one. Uses urgency as a views row tclass.,announcements
,Announcements,By Section,by_section,d,,,Block,Displays published announcements for the set display range if the current URL matches the wild card URL set in the by section URL of the announcement. Shows only the text field. Uses urgency as a views row tclass.,announcements
,Events,All Upcoming Events,all_upcoming_events,d,,,Embed,"Shows image, node title, date and summary. Exposed filter for keyword, category. Sorted by date (asc)",events
,Events,Events List,events_list,d,,,Embed,"Shows image, node title, date and summary. Relationships from paragraph to category to node to only show events by the category selected on the paragraph. Contextual filter for paragraph id (hidden if blank). Only shows upcoming events. Sorted by date (asc).",events
,Contact,By Placement Tag,by_tag,d,,,Block,Goes on department and college content types and should show the contact and hours teasers tagged with the matching tag. ,#N/A
,Contact,By Page Family,by_family,d,,,Block,Goes at the bottom of general pages - shows contact/hours teasers from fields referenced in page family taxonomy. Pulls in social platforms from page family taxonomy.,#N/A
,Departments,By College,by_college,a,,,Block,Goes on college nodes under the body field. Shows the department title (linked). Contextual filter for node Id by URL to show all departments related to the college (use relationship from college reference field).,departments
,Facts,Facts List,list,a,,,Embed,Lists most recent facts with the matching placement tag or page family from the paragraph. Max of 5. Shows teaser. Uses paragraph fields to define the filters.,facts
,Facts,Most Recent by Tag,recent_by_tag,a,,,Block,Shows up to the 5 most recently created facts. Filter for placement tag from the department/college/program. Expose items per page to block settings so can alter by content type.,facts
,Facts,Facts Review,review,a,,,Page,Admin reporting page used to review facts who's expiration date is past.,facts
,Jobs,Jobs,jobs,w,,,Embed,Need to define what is displayed and filters. Add search results counter header (see directory).,jobs
,Profiles,All Staff,all_staff,d,,,Embed,"Shows photo, node title, position. Exposed filter for title, sorted by last name. asc",bios
,Profiles,Profiles List,list,a,,,Embed,"Uses paragraph fields to define the filters, pager and sort.",bios
,Profiles,Department Faculty,department_faculty,a,,,Block,"Shows random three teasers specific to the department, must have image to appear.",bios
,Profiles,Program Faculty,program_faculty,a,,,Block,"Shows random three teasers specific to the program, must have image to appear.",bios
,Profile Search,Directory,directory,a,,,Embed,Shows all profiles as teaser. Sorted by last name asc. Paged and filtered to match the mockups.,profile_search
,Programs,Graduate,graduate,d,,,Embed,,programs
